ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Public Health Definition,,FOUND
2,Population Health,1,FOUND
3,Health vs. Disease,1,FOUND
4,Determinants of Health,1,FOUND
5,Public Health History,1,FOUND
6,Germ Theory of Disease,3|5,FOUND
7,Epidemiological Triad,6,FOUND
8,Natural History of Disease,3|7,FOUND
9,Public Health Functions,1,FOUND
10,Essential Public Health Services,9,FOUND
11,Public Health Infrastructure,9,FOUND
12,Health Indicators,2|4,FOUND
13,Burden of Disease,12,FOUND
14,Primary Prevention,8,FOUND
15,Secondary Prevention,8|14,FOUND
16,Tertiary Prevention,8|15,FOUND
17,Primordial Prevention,8,FOUND
18,Public Health Workforce,9|11,FOUND
19,CEPH Accreditation Standards,1|9,FOUND
20,One Health Framework,1|2,FOUND
21,Incidence Rate,2|12,EPID
22,Prevalence Proportion,21,EPID
23,Cumulative Incidence,21,EPID
24,Mortality Rate,21,EPID
25,Case Fatality Ratio,24,EPID
26,Infection Fatality Ratio,25,EPID
27,Morbidity Rate,21|22,EPID
28,Attack Rate,21,EPID
29,Secondary Attack Rate,28,EPID
30,Age-Standardized Rates,24,EPID
31,Relative Risk,21|22,EPID
32,Odds Ratio,31,EPID
33,Hazard Ratio,31,EPID
34,Attributable Risk,31,EPID
35,Population Attrib Fraction,34,EPID
36,Number Needed to Treat,31,EPID
37,Cross-Sectional Study Design,21|22,EPID
38,Case-Control Study Design,32|37,EPID
39,Cohort Study Design,31|37,EPID
40,Randomized Controlled Trial,39,EPID
41,Ecological Study Design,21|37,EPID
42,Natural Experiment Design,37,EPID
43,Bradford Hill Criteria,31|39,EPID
44,Directed Acyclic Graph,43,EPID
45,Counterfactual Model,43,EPID
46,Confounding Variable,31|43,EPID
47,Selection Bias,38|46,EPID
48,Information Bias,46,EPID
49,Effect Modification,31|46,EPID
50,Surveillance System Design,21|2,EPID
51,Passive Surveillance,50,EPID
52,Active Surveillance,50,EPID
53,Sentinel Surveillance,50,EPID
54,Syndromic Surveillance,50|53,EPID
55,Reportable Conditions,50|51,EPID
56,Outbreak Investigation,50|28,EPID
57,Case Definition,56,EPID
58,Epidemic Curve,21|56,EPID
59,Index Case Identification,57,EPID
60,Source Hypothesis Testing,56|38,EPID
61,R0 Basic Reproduction Number,28,EPID
62,Effective Reproduction Rt,61,EPID
63,Serial Interval,61,EPID
64,Generation Time,63,EPID
65,Herd Immunity Threshold,61,EPID
66,Screening Sensitivity,22|37,EPID
67,Screening Specificity,66,EPID
68,Positive Predictive Value,66|67,EPID
69,Negative Predictive Value,66|67,EPID
70,Descriptive Statistics,,BSTAT
71,Measures of Central Tendency,70,BSTAT
72,Measures of Dispersion,70,BSTAT
73,Normal Distribution,72,BSTAT
74,Binomial Distribution,77,BSTAT
75,Poisson Distribution,77|74,BSTAT
76,Negative Binomial Distribution,75,BSTAT
77,Probability Fundamentals,,BSTAT
78,Conditional Probability,77,BSTAT
79,Bayes' Theorem,78,BSTAT
80,Sampling Methods,70,BSTAT
81,Sample Size Estimation,80,BSTAT
82,Statistical Power,81|83,BSTAT
83,Null Hypothesis Testing,70|77,BSTAT
84,Type I Error Alpha,83,BSTAT
85,Type II Error Beta,83,BSTAT
86,P-Value Interpretation,83|84,BSTAT
87,Confidence Interval,73|86,BSTAT
88,Chi-Square Test,83|74,BSTAT
89,Fisher's Exact Test,88,BSTAT
90,Student T-Test,83|73,BSTAT
91,Mann-Whitney U Test,90,BSTAT
92,Analysis of Variance ANOVA,90,BSTAT
93,Kruskal-Wallis Test,92,BSTAT
94,Linear Regression,87|73,BSTAT
95,Logistic Regression,94|77,BSTAT
96,Poisson Regression for Rates,95|75,BSTAT
97,Cox Proportional Hazards,94|33,BSTAT
98,Kaplan-Meier Survival Curve,97,BSTAT
99,Meta-Analysis Methods,40|87,BSTAT
100,Forest Plot Interpretation,99|87,BSTAT
101,Heterogeneity in Meta-Analysis,99,BSTAT
102,Multiple Comparisons Problem,86,BSTAT
103,Standardization Methods,30|70,BSTAT
104,Missing Data Mechanisms,70|80,BSTAT
105,Multiple Imputation Methods,104,BSTAT
106,Interrupted Time-Series Analysis,94,BSTAT
107,Excess Mortality Estimation,24|106,BSTAT
108,Sensitivity Analysis Stats,87,BSTAT
109,Systematic Review Protocol,99|307,BSTAT
110,Environmental Risk Assessment,4|1,ENVH
111,Hazard Identification,110,ENVH
112,Dose-Response Assessment,111,ENVH
113,Exposure Assessment,111,ENVH
114,Risk Characterization,112|113,ENVH
115,Air Quality Index,110,ENVH
116,Criteria Air Pollutants,115,ENVH
117,Particulate Matter PM2.5,116,ENVH
118,Ozone Health Effects,116,ENVH
119,Indoor Air Quality,116,ENVH
120,Water Safety Standards,110,ENVH
121,Drinking Water Treatment,120,ENVH
122,Waterborne Disease Pathogens,120|6,ENVH
123,Safe Drinking Water Act,120|121,ENVH
124,Toxicology Dose-Response,112,ENVH
125,Bioaccumulation,124,ENVH
126,Endocrine Disruption,124,ENVH
127,Built Environment Health,4|2,ENVH
128,Urban Heat Island Effect,127,ENVH
129,Food Desert Definition,127|4,ENVH
130,Climate Change Health Impacts,110|4,ENVH
131,Vector-Borne Disease Expansion,130,ENVH
132,Wildfire and Air Quality,130|115,ENVH
133,Environmental Justice,110|4,ENVH
134,Cumulative Exposure Burden,133|113,ENVH
135,EJScreen Tool,133,ENVH
136,Legacy Contamination,110|133,ENVH
137,Green Space Health Benefits,127,ENVH
138,Health Belief Model,4|1,SOCBEH
139,Perceived Susceptibility,138,SOCBEH
140,Perceived Severity,138,SOCBEH
141,Perceived Benefits and Barriers,138,SOCBEH
142,Self-Efficacy Construct,138,SOCBEH
143,Transtheoretical Model,138,SOCBEH
144,Stages of Change,143,SOCBEH
145,Social Cognitive Theory,138,SOCBEH
146,Reciprocal Determinism,145,SOCBEH
147,Theory of Planned Behavior,138,SOCBEH
148,Social Norms in Health,147,SOCBEH
149,Social-Ecological Model,138|4,SOCBEH
150,Multilevel Interventions,149,SOCBEH
151,Social Capital,149,SOCBEH
152,Bonding vs Bridging Capital,151,SOCBEH
153,Behavioral Economics Health,138,SOCBEH
154,Nudge Theory,153,SOCBEH
155,Default Effects,154,SOCBEH
156,Loss Aversion in Health,153,SOCBEH
157,Health Literacy Definition,1|4,SOCBEH
158,Functional Health Literacy,157,SOCBEH
159,Communicative Health Literacy,157,SOCBEH
160,Critical Health Literacy,157,SOCBEH
161,Low-Literacy Communication,158,SOCBEH
162,Cultural Humility,4|1,SOCBEH
163,CLAS Standards,162,SOCBEH
164,Community Health Workers,162|150,SOCBEH
165,Promotoras Model,164,SOCBEH
166,Structural Racism Mechanisms,4|149,SOCBEH
167,Weathering Hypothesis,166,SOCBEH
168,Behavioral Intervention Design,149|150,SOCBEH
169,Fidelity vs Adaptation,168,SOCBEH
170,Motivational Interviewing,143|168,SOCBEH
171,Pandemic Fatigue,138|149,SOCBEH
172,Vaccine Hesitancy Dynamics,138|149,SOCBEH
173,US Health System Structure,1|9,POLMGT
174,Federal Health Agencies,173,POLMGT
175,State Health Departments,173,POLMGT
176,Local Health Departments,173,POLMGT
177,Safety Net Providers,173,POLMGT
178,Federally Qualified Centers,177,POLMGT
179,Kingdon's Streams Model,1,POLMGT
180,Policy Development Cycle,179,POLMGT
181,Health Policy Agenda Setting,179|180,POLMGT
182,Employer-Sponsored Insurance,173,POLMGT
183,Medicaid Program,173,POLMGT
184,Medicare Program,173,POLMGT
185,ACA Coverage Provisions,182|183|184,POLMGT
186,Uninsurance and Underinsurance,182,POLMGT
187,Public Health Law,173|1,POLMGT
188,Police Powers in Public Health,187,POLMGT
189,Quarantine Authority,188,POLMGT
190,Mandatory Reporting Laws,187|55,POLMGT
